City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Simao,CN,2022-01-07 07:39:07,22.7886,100.9748,69.69,36,1,5.82
275,Nioro,GM,2022-01-07 07:39:07,13.35,-15.75,68.85,18,35,5.77
276,Riyadh,SA,2022-01-07 07:34:46,24.6877,46.7219,55.54,33,78,1.45
277,Urubicha,BO,2022-01-07 07:39:08,-15.3833,-62.95,71.19,98,77,0.56
278,Jammalamadugu,IN,2022-01-07 07:39:08,14.8333,78.4,85.44,43,0,9.46
279,Puerto Madryn,AR,2022-01-07 07:39:08,-42.7692,-65.0385,70.66,50,39,5.68
280,Kharan,PK,2022-01-07 07:39:09,28.5833,65.4167,49.21,74,100,1.61
281,Latung,PH,2022-01-07 07:39:09,5.5,120.8833,82.58,71,20,1.59
282,Flin Flon,CA,2022-01-07 07:39:09,54.7682,-101.865,-24.03,97,6,6.11
283,Cap-Aux-Meules,CA,2022-01-07 07:39:10,47.3821,-61.8597,27.0,64,100,4.0
284,Lata,PT,2022-01-07 07:39:10,40.1629,-8.3327,49.82,94,3,3.67
285,Rio Grande,BR,2022-01-07 07:39:10,-32.035,-52.0986,69.17,63,86,10.92
286,Ust-Nera,RU,2022-01-07 07:39:11,64.5667,143.2,-15.61,95,83,0.89
287,Linxia,CN,2022-01-07 07:39:11,35.6003,103.2064,34.32,54,100,4.32
288,Rawson,AR,2022-01-07 07:39:11,-43.3002,-65.1023,66.24,63,4,2.3
289,Narasannapeta,IN,2022-01-07 07:39:12,18.4167,84.05,78.71,56,3,9.89
290,Gari,RU,2022-01-07 07:39:12,59.4307,62.3497,16.05,93,100,7.38
291,Port Keats,AU,2022-01-07 07:39:12,-14.25,129.55,87.3,65,95,9.4
292,Lazaro Cardenas,MX,2022-01-07 07:39:13,17.9583,-102.2,70.79,88,46,4.79
293,Vallenar,CL,2022-01-07 07:39:13,-28.5708,-70.7581,66.04,69,0,2.39
